hjd,camera,mag,mag_err,flux,flux_err
2457001.02539,bd,12.739,0.02,30.789,0.567
2457333.06094,bd,12.871,0.02,27.249,0.501
2457017.98186,bd,12.544,0.02,36.834,0.678
2457004.0302,bd,12.598,0.02,35.056,0.645
2457806.96948,bd,12.661,0.02,33.084,0.609
2457803.93084,bd,12.816,0.02,28.668,0.527
2457671.12132,bd,12.832,0.02,28.265,0.52
2457502.78487,bd,12.826,0.02,28.4,0.523
2456991.99973,bd,12.841,0.02,28.022,0.516
2458112.9301,bd,12.588,0.02,35.386,0.651
2457512.79107,bd,12.623,0.02,34.242,0.63
2458120.91132,bd,12.593,0.02,35.21,0.648
2457854.86731,bd,12.838,0.02,28.088,0.517
2457305.1254,bd,12.762,0.02,30.126,0.554
2458184.97203,bd,12.843,0.02,27.973,0.515
2457065.93656,bd,12.831,0.02,28.279,0.52
2457132.79065,bd,12.484,0.02,38.932,0.716
2456735.78342,bd,12.601,0.02,34.941,0.643
2457883.79347,bd,12.54,0.02,36.977,0.68
2457437.96037,bd,12.778,0.02,29.697,0.546
2457110.88354,bd,12.871,0.02,27.266,0.502
2457863.85411,bd,12.699,0.02,31.953,0.588
2456701.82828,bd,12.392,0.02,42.383,0.78
2456994.06495,bd,12.597,0.02,35.094,0.646
2457095.96144,bd,12.437,0.02,40.659,0.748
2457054.95213,bd,12.678,0.02,32.57,0.599
2458057.11723,bd,12.868,0.02,27.325,0.503
2458125.08515,bd,12.822,0.02,28.516,0.525
2457315.11042,bd,12.883,0.02,26.956,0.496
2457801.02802,bd,12.733,0.02,30.947,0.569
2456971.08347,bd,12.778,0.02,29.695,0.546
2457744.99526,bd,12.5,0.02,38.37,0.706
2457441.84217,bd,12.834,0.02,28.192,0.519
2457128.81135,bd,12.714,0.02,31.51,0.58
2456648.986,bd,12.86,0.02,27.525,0.506
2456968.08904,bd,12.864,0.02,27.441,0.505
2458452.08139,bd,12.666,0.02,32.92,0.606
2457034.98143,bd,12.828,0.02,28.354,0.522
2457325.10668,bd,12.659,0.02,33.145,0.61
2457410.85269,bd,12.855,0.02,27.67,0.509
2457369.9647,bd,12.864,0.02,27.443,0.505
2457407.09354,bd,12.812,0.02,28.777,0.53
2457121.81407,bd,12.825,0.02,28.439,0.523
2457009.02799,bd,12.814,0.02,28.735,0.529
2458233.8113,bd,12.826,0.02,28.408,0.523
2458122.01563,bd,12.747,0.02,30.56,0.562
2458185.97236,bd,12.59,0.02,35.323,0.65
2458195.75545,bd,12.426,0.02,41.056,0.755
2457097.93157,bd,12.597,0.02,35.095,0.646
2457826.93161,bd,12.84,0.02,28.042,0.516
2457483.81152,bd,12.67,0.02,32.809,0.604
2456740.8367,bd,12.753,0.02,30.393,0.559
2457489.76292,bd,12.869,0.02,27.299,0.502
2457761.89597,bd,12.603,0.02,34.903,0.642
2457847.79334,bd,12.878,0.02,27.076,0.498
2457069.98106,bd,12.881,0.02,26.998,0.497
2456972.08176,bd,12.887,0.02,26.848,0.494
2457869.8358,bd,12.655,0.02,33.262,0.612
2457432.89822,bd,12.582,0.02,35.575,0.655
2458224.82907,bd,12.877,0.02,27.114,0.499
2457459.82669,bd,12.569,0.02,36.015,0.663
2457709.03372,bd,12.752,0.02,30.427,0.56
2458028.14493,bd,12.845,0.02,27.93,0.514
2457390.969,bd,12.703,0.02,31.822,0.586
2457480.9061,bd,12.9,0.02,26.539,0.488
2457454.72653,bd,12.437,0.02,40.664,0.748
2457756.07135,bd,12.639,0.02,33.765,0.621
2457858.86826,bd,12.813,0.02,28.765,0.529
2457322.09026,bd,12.653,0.02,33.31,0.613
2457495.82501,bd,12.734,0.02,30.916,0.569
2457773.93903,bd,12.888,0.02,26.825,0.494
2457417.98045,bd,12.845,0.02,27.921,0.514
2457801.89651,bd,12.811,0.02,28.812,0.53
2457299.14011,bd,12.517,0.02,37.781,0.695
2457511.81021,bd,12.687,0.02,32.302,0.594
2457099.94858,bd,12.749,0.02,30.489,0.561
2457104.87068,bd,12.513,0.02,37.897,0.697
2457405.86594,bd,12.848,0.02,27.846,0.512
2457429.90117,bd,12.758,0.02,30.242,0.556
2457007.02343,bd,12.743,0.02,30.66,0.564
2457481.87115,bd,12.813,0.02,28.76,0.529
2457363.07664,bd,12.874,0.02,27.173,0.5
2456992.99468,bd,12.849,0.02,27.814,0.512
2457433.88527,bd,12.479,0.02,39.127,0.72
2457357.03738,bd,12.833,0.02,28.226,0.519
2458244.77319,bd,12.597,0.02,35.099,0.646
2457413.89178,bd,12.419,0.02,41.346,0.761
2457705.04473,bd,12.832,0.02,28.259,0.52
2457397.02364,bd,12.886,0.02,26.887,0.495
2457427.9914,bd,12.728,0.02,31.089,0.572
2458054.15515,bd,12.802,0.02,29.054,0.535
