object_id,ok,total,med_match_dist,med_rate
HD_103187,109,109,4.434764027330778,82034.13644123077
HD_103405,109,109,1.8493268641565455,16332.690292358398
TYC_3452_787_1,109,109,3.2902211762495783,21529.034782409668
gaia_774271076054448768_src2,109,109,0.9324930960597866,2412.790475845337
gaia_774272862760870784_src1,109,109,2.7728585796908534,3582.8703956604004
gaia_774287774887292672_src5,109,109,0.817682167908542,1451.233835220337
gaia_774288805679445888_src7,109,109,1.6668105485202735,1151.9835724830627
gaia_774289041901756032_src4,109,109,1.6912388023937275,1497.819275856018
gaia_774289488578357504_src6,109,109,1.969333227184096,1271.483235359192
gaia_774290626745586944_src8,109,109,1.6111629692585507,406.06594038009644
gaia_774384016513181696_src3,109,109,3.3843875215188843,1588.7890701293945
