object_id,n_ok,median_flux_rate,relative_robust_rms
DN_UMa,73,86552.3641204834,1.4824103393246868
gaia_774271076054448768_src2,75,1957.3414897918701,0.3326614194624593
gaia_774272862760870784_src1,72,2777.345820426941,0.3789552834975804
gaia_774287774887292672_src5,76,1026.1777930259705,0.5714626309801382
gaia_774288805679445888_src7,71,863.9364976882935,0.4387807715361143
gaia_774289041901756032_src4,68,1161.8024272918701,0.35267849906003845
gaia_774289488578357504_src6,84,628.4148087501526,1.3922140626344524
gaia_774290626745586944_src8,80,279.97044110298157,0.6339945878451266
gaia_774384016513181696_src3,62,1361.8086535930634,0.21556573591922823
target,74,159273.35013771057,0.5963820881730577
