file,jd,exptime,object_id,role,x,y,registered,dx,dy,matches,flux,flux_err,flux_rate,flux_rate_err,saturated,flag
light_V0399_V_8s_2026_05_20-0001_flat_0p3_early_bias_cal.fits,2461181.689061574,8.0,target,target,1919.903590622587,634.4771213573923,True,-8.036409377413065,1.9571213573923387,9,1724200.7485351562,5065.064745578875,215525.09356689453,633.1330931973594,False,ok
light_V0399_V_8s_2026_05_20-0001_flat_0p3_early_bias_cal.fits,2461181.689061574,8.0,gaia_774272862760870784_src1,comparison,591.5420514140859,260.0429815866357,True,-8.036409377413065,1.9571213573923387,9,26488.904235839844,186.7953506860877,3311.1130294799805,23.34941883576096,False,ok
light_V0399_V_8s_2026_05_20-0001_flat_0p3_early_bias_cal.fits,2461181.689061574,8.0,gaia_774271076054448768_src2,comparison,1498.6814764459984,323.2733323888684,True,-8.036409377413065,1.9571213573923387,9,17188.709503173828,150.2638758771646,2148.5886878967285,18.782984484645574,False,ok
light_V0399_V_8s_2026_05_20-0001_flat_0p3_early_bias_cal.fits,2461181.689061574,8.0,gaia_774384016513181696_src3,comparison,382.5757271826125,1256.4719093932504,True,-8.036409377413065,1.9571213573923387,9,11366.527633666992,129.89830777930433,1420.815954208374,16.23728847241304,False,ok
light_V0399_V_8s_2026_05_20-0001_flat_0p3_early_bias_cal.fits,2461181.689061574,8.0,gaia_774289041901756032_src4,comparison,2033.3510281301299,1444.3078712489282,True,-8.036409377413065,1.9571213573923387,9,10805.714027404785,118.18587594467364,1350.7142534255981,14.773234493084205,False,ok
light_V0399_V_8s_2026_05_20-0001_flat_0p3_early_bias_cal.fits,2461181.689061574,8.0,gaia_774287774887292672_src5,comparison,2025.7721749571026,1082.6906987129182,True,-8.036409377413065,1.9571213573923387,9,10128.040008544922,115.32063585871596,1266.0050010681152,14.415079482339495,False,ok
light_V0399_V_8s_2026_05_20-0001_flat_0p3_early_bias_cal.fits,2461181.689061574,8.0,gaia_774289488578357504_src6,comparison,932.6177141423532,1102.447894645044,True,-8.036409377413065,1.9571213573923387,9,9024.87670135498,108.9745013441342,1128.1095876693726,13.621812668016775,False,ok
light_V0399_V_8s_2026_05_20-0001_flat_0p3_early_bias_cal.fits,2461181.689061574,8.0,gaia_774288805679445888_src7,comparison,1936.5615601477186,1353.6959844408152,True,-8.036409377413065,1.9571213573923387,9,8359.367721557617,103.11836526585473,1044.9209651947021,12.889795658231842,False,ok
light_V0399_V_8s_2026_05_20-0001_flat_0p3_early_bias_cal.fits,2461181.689061574,8.0,gaia_774290626745586944_src8,comparison,1063.4246676302605,1435.9556789006783,True,-8.036409377413065,1.9571213573923387,9,2648.056365966797,66.26172535246539,331.0070457458496,8.282715669058174,False,ok
light_V0399_V_8s_2026_05_20-0001_flat_0p3_early_bias_cal.fits,2461181.689061574,8.0,DN_UMa,check,1844.7835906225869,688.5871213573923,True,-8.036409377413065,1.9571213573923387,9,2537641.80859375,8524.28389652067,317205.22607421875,1065.5354870650838,False,ok
light_V0399_V_8s_2026_05_20-0002_flat_0p3_early_bias_cal.fits,2461181.689252662,8.0,target,target,1919.9432583394278,634.7433899362441,True,-7.996741660572297,2.223389936244075,9,1683173.8754882812,5038.764076205815,210396.73443603516,629.8455095257269,False,ok
light_V0399_V_8s_2026_05_20-0002_flat_0p3_early_bias_cal.fits,2461181.689252662,8.0,gaia_774272862760870784_src1,comparison,591.5817191309267,260.3092501654874,True,-7.996741660572297,2.223389936244075,9,25071.88705444336,184.01166007250575,3133.98588180542,23.00145750906322,False,ok
light_V0399_V_8s_2026_05_20-0002_flat_0p3_early_bias_cal.fits,2461181.689252662,8.0,gaia_774271076054448768_src2,comparison,1498.7211441628392,323.53960096772016,True,-7.996741660572297,2.223389936244075,9,16966.94398498535,149.0675257330904,2120.867998123169,18.6334407166363,False,ok
light_V0399_V_8s_2026_05_20-0002_flat_0p3_early_bias_cal.fits,2461181.689252662,8.0,gaia_774384016513181696_src3,comparison,382.6153948994533,1256.738177972102,True,-7.996741660572297,2.223389936244075,9,10881.862190246582,129.47929891235387,1360.2327737808228,16.184912364044234,False,ok
light_V0399_V_8s_2026_05_20-0002_flat_0p3_early_bias_cal.fits,2461181.689252662,8.0,gaia_774289041901756032_src4,comparison,2033.3906958469706,1444.5741398277798,True,-7.996741660572297,2.223389936244075,9,10562.983383178711,115.53486052366202,1320.3729228973389,14.441857565457752,False,ok
