ensemble,series,sigma_source,N,mean,sigma_used,sigma_used_pct,robust_scatter_pct,chi2,dof,chi2_red,p_constant,comparison_stars
balanced_without_HD,HD_103187,DN_check_empirical,109,0.9909079380017837,0.01960958340842271,1.9609583408422708,2.07256449611788,125.07202254040158,108,1.158074282781496,0.12501034237035324,"gaia_774271076054448768_src2,gaia_774288805679445888_src7,gaia_774290626745586944_src8"
balanced_without_HD,HD_103187,HD_self,109,0.9909079380017837,0.020725644961178798,2.07256449611788,2.07256449611788,111.96461714120697,108,1.0367094179741387,0.3776076209877441,"gaia_774271076054448768_src2,gaia_774288805679445888_src7,gaia_774290626745586944_src8"
balanced_without_HD,DN_check,DN_check_self,64,1.000783924043287,0.01960958340842271,1.9609583408422708,1.9609583408422708,42.740476900875684,63,0.678420268267868,0.9763838998743279,"gaia_774271076054448768_src2,gaia_774288805679445888_src7,gaia_774290626745586944_src8"
all_comps_without_HD,HD_103187,DN_check_empirical,109,1.003263412336658,0.015078069243502424,1.5078069243502423,1.7257592238677943,203.84191177420917,108,1.8874251090204552,7.133101278029264e-08,"HD_103405,TYC_3452_787_1,gaia_774271076054448768_src2,gaia_774272862760870784_src1,gaia_774287774887292672_src5,gaia_774288805679445888_src7,gaia_774289041901756032_src4,gaia_774289488578357504_src6,gaia_774290626745586944_src8,gaia_774384016513181696_src3"
all_comps_without_HD,HD_103187,HD_self,109,1.003263412336658,0.017257592238677944,1.7257592238677943,1.7257592238677943,155.60535690289612,108,1.4407903416934826,0.0018581347570083009,"HD_103405,TYC_3452_787_1,gaia_774271076054448768_src2,gaia_774272862760870784_src1,gaia_774287774887292672_src5,gaia_774288805679445888_src7,gaia_774289041901756032_src4,gaia_774289488578357504_src6,gaia_774290626745586944_src8,gaia_774384016513181696_src3"
all_comps_without_HD,DN_check,DN_check_self,64,1.0003337982935936,0.015078069243502424,1.5078069243502423,1.5078069243502423,93.01236973324738,63,1.476386821162657,0.008294623064437762,"HD_103405,TYC_3452_787_1,gaia_774271076054448768_src2,gaia_774272862760870784_src1,gaia_774287774887292672_src5,gaia_774288805679445888_src7,gaia_774289041901756032_src4,gaia_774289488578357504_src6,gaia_774290626745586944_src8,gaia_774384016513181696_src3"
