sequence,series,sigma_source,N,mean,sigma_used,sigma_used_pct,chi2,dof,chi2_red,p_constant,robust_scatter_pct
V0399 named,V0399,DN_check_empirical,107,0.9984684673251705,0.011935864911786958,1.1935864911786958,139.62279171249043,106,1.3171961482310417,0.01590065369572407,1.230074883737448
V0399 named,DN_check,DN_check_self,64,0.9998649673521411,0.011935864911786958,1.1935864911786958,80.26826548994555,63,1.274099452221358,0.07011531721004362,1.1935864911786958
V0399 named,V0399,V0399_self,107,0.9984684673251705,0.01230074883737448,1.230074883737448,131.462233094224,106,1.2402097461719244,0.04740719849839555,1.230074883737448
V_8 generic,V0399,DN_check_empirical,83,1.0008362561271262,0.011905538069609657,1.1905538069609656,125.92270307945184,82,1.53564272048112,0.0013151508836288484,1.3719319195363282
V_8 generic,DN_check,DN_check_self,78,0.9985091879892501,0.011905538069609657,1.1905538069609656,109.64719724182545,77,1.4239895745691618,0.008599321529065434,1.1905538069609656
V_8 generic,V0399,V0399_self,83,1.0008362561271262,0.013719319195363282,1.3719319195363282,94.82808335627868,82,1.1564400409302278,0.15739676999437013,1.3719319195363282
combined,V0399,pooled_DN_check_empirical,190,0.9995028171702354,0.011935864911786958,1.1935864911786958,266.7458580545559,189,1.4113537463204018,0.00016753189083853454,1.283294105582018
combined,DN_check,pooled_DN_check_self,142,0.9991202434767504,0.011935864911786958,1.1935864911786958,189.81256647527488,141,1.3461884147182615,0.0038518070988514167,1.1935864911786958
combined,V0399,V0399_self,190,0.9995028171702354,0.012832941055820179,1.283294105582018,230.75603890955995,189,1.2209314228019046,0.020628348868724927,1.283294105582018
