sequence,N,DN_scatter_pct,V0399_scatter_pct,DN_median,V0399_median
V0399 named,106,1.6848394849558277,1.3449169111010109,230.33797738942354,158.55279182104556
V_8 generic,83,1.6450515556709056,1.6271728975819584,229.99929817748554,158.05673946069098
combined,189,1.6731258406768077,1.3845025236162904,,
