file,jd,minutes,HD_103187_norm_diff_flux,ensemble
light_V0399_V_8s_2026_05_20-0038_flat_0p3_late_bias_cal.fits,2461181.69614699,10.202999711036682,1.028362080085682,balanced_without_HD
light_V0399_V_8s_2026_05_20-0039_flat_0p3_late_bias_cal.fits,2461181.696338542,10.47883339226246,0.9877805603629871,balanced_without_HD
light_V0399_V_8s_2026_05_20-0040_flat_0p3_late_bias_cal.fits,2461181.6965310187,10.756000131368635,0.9982517223136472,balanced_without_HD
light_V0399_V_8s_2026_05_20-0041_flat_0p3_late_bias_cal.fits,2461181.696722801,11.03216640651226,0.965635446532973,balanced_without_HD
light_V0399_V_8s_2026_05_20-0042_flat_0p3_late_bias_cal.fits,2461181.696914352,11.308000087738035,0.9814714035872042,balanced_without_HD
light_V0399_V_8s_2026_05_20-0043_flat_0p3_late_bias_cal.fits,2461181.697106134,11.58416636288166,0.9789868316700492,balanced_without_HD
light_V0399_V_8s_2026_05_20-0044_flat_0p3_late_bias_cal.fits,2461181.6972972224,11.859333515167236,0.9733217591888512,balanced_without_HD
light_V0399_V_8s_2026_05_20-0045_flat_0p3_late_bias_cal.fits,2461181.6974885417,12.13483326137066,0.993313028002502,balanced_without_HD
light_V0399_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.697679977,12.410499975085258,0.9808190741392901,balanced_without_HD
light_V0399_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6978716436,12.686499953269958,1.0185644123858484,balanced_without_HD
light_V0399_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6980633102,12.96249993145466,1.0371901975028235,balanced_without_HD
light_V0399_V_8s_2026_05_20-0049_flat_0p3_late_bias_cal.fits,2461181.698254977,13.23849990963936,0.9587151884071009,balanced_without_HD
light_V0399_V_8s_2026_05_20-0050_flat_0p3_late_bias_cal.fits,2461181.698446412,13.514166623353958,1.0285195623116448,balanced_without_HD
light_V0399_V_8s_2026_05_20-0051_flat_0p3_late_bias_cal.fits,2461181.698638773,13.79116639494896,0.9903725179521614,balanced_without_HD
light_V0399_V_8s_2026_05_20-0052_flat_0p3_late_bias_cal.fits,2461181.6988304397,14.06716637313366,1.021918379726795,balanced_without_HD
light_V0399_V_8s_2026_05_20-0053_flat_0p3_late_bias_cal.fits,2461181.6990222223,14.343333318829536,0.9906431039384577,balanced_without_HD
light_V0399_V_8s_2026_05_20-0054_flat_0p3_late_bias_cal.fits,2461181.699213773,14.61916632950306,0.989267425162526,balanced_without_HD
light_V0399_V_8s_2026_05_20-0055_flat_0p3_late_bias_cal.fits,2461181.699405208,14.89483304321766,1.0233379806947318,balanced_without_HD
light_V0399_V_8s_2026_05_20-0056_flat_0p3_late_bias_cal.fits,2461181.699596991,15.170999988913536,0.9780990522896589,balanced_without_HD
light_V0399_V_8s_2026_05_20-0057_flat_0p3_late_bias_cal.fits,2461181.699788773,15.44716626405716,0.9650483370406259,balanced_without_HD
light_V0399_V_8s_2026_05_20-0058_flat_0p3_late_bias_cal.fits,2461181.6999804396,15.72316624224186,0.9905307804786444,balanced_without_HD
light_V0399_V_8s_2026_05_20-0059_flat_0p3_late_bias_cal.fits,2461181.7001721063,15.99916622042656,1.0033482544838705,balanced_without_HD
light_V0399_V_8s_2026_05_20-0060_flat_0p3_late_bias_cal.fits,2461181.7003641203,16.275666430592537,0.953035653551576,balanced_without_HD
light_V0399_V_8s_2026_05_20-0061_flat_0p3_late_bias_cal.fits,2461181.70055544,16.551166847348213,1.0002733122446956,balanced_without_HD
light_V0399_V_8s_2026_05_20-0062_flat_0p3_late_bias_cal.fits,2461181.700747222,16.827333122491837,0.9983233021432141,balanced_without_HD
light_V0399_V_8s_2026_05_20-0063_flat_0p3_late_bias_cal.fits,2461181.70093831,17.10249960422516,0.9947120934955639,balanced_without_HD
light_V0399_V_8s_2026_05_20-0064_flat_0p3_late_bias_cal.fits,2461181.701130209,17.378833517432213,0.9664652253257526,balanced_without_HD
light_V0399_V_8s_2026_05_20-0065_flat_0p3_late_bias_cal.fits,2461181.7013217593,17.654666528105736,0.9851266665027824,balanced_without_HD
light_V0399_V_8s_2026_05_20-0066_flat_0p3_late_bias_cal.fits,2461181.701513542,17.930833473801613,0.9968329296217129,balanced_without_HD
light_V0399_V_8s_2026_05_20-0067_flat_0p3_late_bias_cal.fits,2461181.70170544,18.207166716456413,0.9635226598733807,balanced_without_HD
light_V0399_V_8s_2026_05_20-0068_flat_0p3_late_bias_cal.fits,2461181.7018971066,18.483166694641113,1.0085230456686383,balanced_without_HD
light_V0399_V_8s_2026_05_20-0069_flat_0p3_late_bias_cal.fits,2461181.7020890047,18.759499937295914,0.983336307484508,balanced_without_HD
light_V0399_V_8s_2026_05_20-0070_flat_0p3_late_bias_cal.fits,2461181.702280787,19.035666212439537,0.9608504783568239,balanced_without_HD
light_V0399_V_8s_2026_05_20-0071_flat_0p3_late_bias_cal.fits,2461181.7024725694,19.311833158135418,0.9908626101892347,balanced_without_HD
light_V0399_V_8s_2026_05_20-0072_flat_0p3_late_bias_cal.fits,2461181.7026641206,19.58766683936119,0.995853368859931,balanced_without_HD
light_V0399_V_8s_2026_05_20-0073_flat_0p3_late_bias_cal.fits,2461181.7028560187,19.86400008201599,0.9627315541742945,balanced_without_HD
light_V0399_V_8s_2026_05_20-0074_flat_0p3_late_bias_cal.fits,2461181.7030475694,20.13983309268951,1.0015502317284721,balanced_without_HD
light_V0399_V_8s_2026_05_20-0075_flat_0p3_late_bias_cal.fits,2461181.7032395834,20.41633330285549,1.0099875281628081,balanced_without_HD
light_V0399_V_8s_2026_05_20-0076_flat_0p3_late_bias_cal.fits,2461181.703431134,20.692166313529015,1.0021665452170572,balanced_without_HD
light_V0399_V_8s_2026_05_20-0077_flat_0p3_late_bias_cal.fits,2461181.703622338,20.96749976277351,0.9745996647748468,balanced_without_HD
light_V0399_V_8s_2026_05_20-0078_flat_0p3_late_bias_cal.fits,2461181.703814236,21.24383300542831,0.9926426315695183,balanced_without_HD
light_V0399_V_8s_2026_05_20-0079_flat_0p3_late_bias_cal.fits,2461181.7040060186,21.51999995112419,0.954836966135386,balanced_without_HD
light_V0399_V_8s_2026_05_20-0080_flat_0p3_late_bias_cal.fits,2461181.7041976852,21.79599992930889,0.9967004658124533,balanced_without_HD
light_V0399_V_8s_2026_05_20-0081_flat_0p3_late_bias_cal.fits,2461181.704389352,22.07199990749359,1.0501846769872485,balanced_without_HD
