flat,sequence,file,jd,minutes,target_rate,dn_rate,ensemble_rate,diff_flux,check_diff_flux,n_comps,n_sources,good,reject_reason,minutes_combined,diff_flux_norm,check_diff_flux_norm
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0001_flat_0p3_early_bias_cal.fits,2461181.672184375,0.0,188008.6314315796,275835.17053222656,1215.506911277771,154.67508221235883,226.93015397358934,8,19,True,ok,0.0,0.9797226095128482,0.9878530057334791
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0002_flat_0p3_early_bias_cal.fits,2461181.672376852,0.2771667391061783,169940.6524658203,244279.40411376953,1048.5985140800476,162.06455586570422,232.95799186600965,8,17,True,ok,0.2771667391061783,1.02652804389201,1.01409287591307
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0003_flat_0p3_early_bias_cal.fits,2461181.6725682872,0.5528334528207779,198254.58813476562,298998.8688354492,1282.8045725822449,154.5477716342135,233.08216639232427,8,20,True,ok,0.5528334528207779,0.9789162155542668,1.014633421878018
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0004_flat_0p3_early_bias_cal.fits,2461181.6727600694,0.8289997279644012,170249.91436767578,252372.29028320312,1078.3746676445007,157.876403698868,234.03024742268957,8,17,True,ok,0.8289997279644012,1.0,1.0187605274174354
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0005_flat_0p3_early_bias_cal.fits,2461181.6729527777,1.10649973154068,195227.12343597412,285452.9027404785,1249.4392194747925,156.25179712066245,228.46481708847747,8,21,True,ok,1.10649973154068,0.9897096301908149,0.9945335704106926
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0006_flat_0p3_early_bias_cal.fits,2461181.6731434027,1.3809996843338013,188454.55563354492,276897.08263397217,1201.1767835617065,156.89160680806955,230.52150726133934,8,20,True,ok,1.3809996843338013,0.9937622287579034,1.0034865787859504
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0007_flat_0p3_early_bias_cal.fits,2461181.6733350693,1.6569996625185013,200988.36863708496,283455.56494140625,1288.1225366592407,156.03202561640634,220.05326114125074,8,21,True,ok,1.6569996625185013,0.9883175823666493,0.9579171019517221
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0008_flat_0p3_early_bias_cal.fits,2461181.6735259257,1.931832879781723,156233.34867095947,228793.27111816406,973.4384241104126,160.49638559699864,235.03620306261212,8,15,True,ok,1.931832879781723,1.01659514554897,1.0231395677747064
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0009_flat_0p3_early_bias_cal.fits,2461181.6737177083,2.2079998254776,200526.78899383545,291958.82189178467,1270.7373900413513,157.80348525615514,229.75543505671456,8,21,True,ok,2.2079998254776,0.999538129568419,1.000151778554706
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0010_flat_0p3_early_bias_cal.fits,2461181.6739096064,2.4843330681324005,176289.49879455566,251194.98892211914,1109.6175169944763,158.87411301153173,226.37979761035945,8,19,True,ok,2.4843330681324005,1.006319559410327,0.9854572413182112
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0011_flat_0p3_early_bias_cal.fits,2461181.67410081,2.7596665173768997,221925.89484024048,322384.51525878906,1416.0411829948425,156.7227687339435,227.66605881967718,8,23,True,ok,2.7596665173768997,0.9926927967834578,0.9910564839906099
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0012_flat_0p3_early_bias_cal.fits,2461181.674292361,3.0354995280504227,174591.35856628418,251435.8680114746,1113.8137154579163,156.75095048951283,225.74319612153738,8,20,True,ok,3.0354995280504227,0.9928713019616165,0.9826860419726167
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0013_flat_0p3_early_bias_cal.fits,2461181.6744832178,3.310333415865898,187005.74890518188,277162.04817962646,1210.2361235618591,154.52005213230888,229.01485320394158,8,21,True,ok,3.310333415865898,0.9787406383226148,0.9969279407506801
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0014_flat_0p3_early_bias_cal.fits,2461181.674675,3.5864996910095215,156425.09075927734,233145.6257171631,1005.8003616333008,155.52300111053998,231.80109553605865,7,18,True,ok,3.5864996910095215,0.9850933861350372,1.0090567734081684
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0015_flat_0p3_early_bias_cal.fits,2461181.6748667825,3.8626666367053986,170918.2999267578,250924.15625,1071.924771308899,159.44990217742054,234.08746860435286,8,19,True,ok,3.8626666367053986,1.0099666475906928,1.0190096177886705
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0016_flat_0p3_early_bias_cal.fits,2461181.675058449,4.138666614890099,185472.11251831055,274699.9335861206,1169.9314770698547,158.5324578007198,234.8000194627798,8,23,True,ok,4.138666614890099,1.004155491805496,1.0221114334571026
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0017_flat_0p3_early_bias_cal.fits,2461181.6752502313,4.414832890033722,209432.0908203125,298783.1591796875,1332.698902130127,157.14884321249573,224.1940461586077,8,23,True,ok,4.414832890033722,0.9953915818366372,0.9759424143831774
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0018_flat_0p3_early_bias_cal.fits,2461181.67544213,4.691166803240776,127896.7212524414,188369.10134887695,822.4692211151123,155.50335254982272,229.02875452711066,8,16,True,ok,4.691166803240776,0.9849689307999971,0.9969884548059337
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0019_flat_0p3_early_bias_cal.fits,2461181.6756346063,4.968332871794701,219933.4028301239,322825.3513183594,1385.5647025108337,158.73196136678015,232.99189906711354,8,24,True,ok,4.968332871794701,1.0054191611150711,1.0142404778511112
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0020_flat_0p3_early_bias_cal.fits,2461181.6758256946,5.2435000240802765,196558.66538238525,287905.15619659424,1220.468542098999,161.0518080575331,235.89723640188723,8,23,True,ok,5.2435000240802765,1.0201132296167694,1.0268877447240712
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0021_flat_0p3_early_bias_cal.fits,2461181.676017361,5.5195000022649765,203774.14709091187,295539.67948913574,1271.8220252990723,160.22221901920108,232.37502858911319,8,23,True,ok,5.5195000022649765,1.0148585555876195,1.0115551698602137
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0022_flat_0p3_early_bias_cal.fits,2461181.676209028,5.7954999804496765,208554.72960662842,298009.43616485596,1308.2539296150208,159.4145638591735,227.79173784140747,8,23,True,ok,5.7954999804496765,1.0097428122522945,0.9916035791967778
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0023_flat_0p3_early_bias_cal.fits,2461181.6764001157,6.070666462182999,220583.4283809662,325902.2287902832,1399.6870546340942,157.59481924952934,232.83935341924018,8,23,True,ok,6.070666462182999,0.9982164247300962,1.0135764291377756
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0024_flat_0p3_early_bias_cal.fits,2461181.6765917824,6.346666440367699,158950.1039276123,227878.1889038086,981.2147727012634,161.99318268519954,232.24088674945727,8,19,True,ok,6.346666440367699,1.0260759612575407,1.0109712350363114
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0025_flat_0p3_early_bias_cal.fits,2461181.676783449,6.622666418552399,221125.81696128845,335352.93634033203,1485.4488773345947,148.86127710976098,225.75865212007184,8,23,True,ok,6.622666418552399,0.9428975681109232,0.9827533237081707
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0026_flat_0p3_early_bias_cal.fits,2461181.6769761574,6.900166422128677,227066.42168807983,329548.70067596436,1420.1760530471802,159.88610792364653,232.0477802515209,8,24,True,ok,6.900166422128677,1.0127296047901613,1.010130620287355
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0027_flat_0p3_early_bias_cal.fits,2461181.6771674766,7.1756661683321,197369.14921569824,289611.40017700195,1255.6448588371277,157.1854874621833,230.64754188952406,8,24,True,ok,7.1756661683321,0.9956236890346036,1.0040352219878286
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0028_flat_0p3_early_bias_cal.fits,2461181.677359375,7.452000081539154,172899.6879272461,249148.33164215088,1055.2203855514526,163.85173210702297,236.11023351481904,8,19,True,ok,7.452000081539154,1.0378481411291345,1.027814945603011
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0029_flat_0p3_early_bias_cal.fits,2461181.677550463,7.727166563272476,224323.01662445068,334364.73828125,1437.1241216659546,156.09160909804308,232.66239376293052,8,24,True,ok,7.727166563272476,0.988694988237576,1.012806103443644
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0030_flat_0p3_early_bias_cal.fits,2461181.677741667,8.002500012516975,193333.65203857422,275751.893447876,1204.8948678970337,160.4568640714767,228.85971282221513,8,23,True,ok,8.002500012516975,1.0163448134879653,0.9962525968630761
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0031_flat_0p3_early_bias_cal.fits,2461181.6779328706,8.277833461761475,207404.328125,303567.68182373047,1302.8930168151855,159.18753531428294,232.9950946899513,8,26,True,ok,8.277833461761475,1.0083047978336002,1.0142543887640956
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0032_flat_0p3_early_bias_cal.fits,2461181.6781244213,8.553666472434998,153637.06634521484,232143.4988708496,994.5989785194397,154.47136953017892,233.40411953410458,8,17,True,ok,8.553666472434998,0.9784322793722626,1.0160349208557609
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0033_flat_0p3_early_bias_cal.fits,2461181.678316204,8.829833418130875,216753.96631622314,312804.27030944824,1394.2564554214478,155.46204966338422,224.35203300880224,8,25,True,ok,8.829833418130875,0.9847073154764224,0.9766301492747212
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0034_flat_0p3_early_bias_cal.fits,2461181.6785078705,9.105833396315575,197609.3936767578,291635.6578216553,1265.0564713478088,156.20598617721942,230.53173073842513,8,25,True,ok,9.105833396315575,0.9894194605241027,1.0035310827550854
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0035_flat_0p3_early_bias_cal.fits,2461181.678699537,9.381833374500275,216170.0989227295,316060.86853027344,1385.6856610774994,156.00226299133178,228.08987449903086,8,27,True,ok,9.381833374500275,0.9881290638523098,0.9929014022854928
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0036_flat_0p3_early_bias_cal.fits,2461181.6788909724,9.657500088214874,213442.03035354614,308678.896484375,1359.2725620269775,157.02665993291046,227.09124358698608,8,24,True,ok,9.657500088214874,0.9946176645397984,0.988554247309356
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0037_flat_0p3_early_bias_cal.fits,2461181.67908206,9.932666569948196,216481.20403289795,317488.9178619385,1395.9491572380066,155.07814372066585,227.43587487821895,8,28,True,ok,9.932666569948196,0.9822756288296286,0.9900544668745083
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0038_flat_0p3_early_bias_cal.fits,2461181.6792738424,10.20883284509182,178991.27627182007,260575.71174621582,1143.7704157829285,156.49231157049798,227.82169231737623,8,24,True,ok,10.20883284509182,0.991233065259011,0.9917339744686391
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0039_flat_0p3_early_bias_cal.fits,2461181.6794653935,10.484666526317596,227041.21523284912,328075.92182922363,1456.7425417900085,155.8554162589819,,8,28,True,ok,10.484666526317596,0.9871989265492714,
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0040_flat_0p3_early_bias_cal.fits,2461181.679657176,10.760833472013474,213039.15449523926,307337.2593765259,1348.6031885147095,157.9702289817889,227.89302442256067,8,24,True,ok,10.760833472013474,1.000594295795462,0.9920444913095167
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0041_flat_0p3_early_bias_cal.fits,2461181.679848843,11.036833450198174,198913.50146484375,290174.8683395386,1230.2001037597656,161.69198885361803,235.87615336131051,8,24,True,ok,11.036833450198174,1.0241681788117485,1.026795967828674
flat_0p3_early_bias,V_8 generic,light_V_8s_2026_05_20-0042_flat_0p3_early_bias_cal.fits,2461181.6800405094,11.312833428382874,196985.26789093018,278404.52432250977,1226.5408747196198,160.6022856237546,226.9834866988444,8,27,True,ok,11.312833428382874,1.0172659236024018,0.9880851692076787
