flat,sequence,file,object_id,role,x,y,match_dist,flux_rate,flag
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0004_flat_6s_masked_cal.fits,gaia_774287774887292672_src5,comparison,2024.5225557569238,1083.7131805098957,0.8191883808556962,1331.9427242279053,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0004_flat_6s_masked_cal.fits,gaia_774288805679445888_src7,comparison,1935.636800177976,1354.6216409337933,1.6849774895625695,1054.4419136047363,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0004_flat_6s_masked_cal.fits,gaia_774289041901756032_src4,comparison,2032.3566970897493,1445.3731788656316,1.6998500981288687,1371.3092632293701,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0004_flat_6s_masked_cal.fits,gaia_774289488578357504_src6,comparison,931.1894967103502,1103.098613675515,2.097537527188177,1137.8381118774414,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0004_flat_6s_masked_cal.fits,gaia_774290626745586944_src8,comparison,1060.8509313026861,1436.210168174844,1.3849119365898643,356.241587638855,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0004_flat_6s_masked_cal.fits,gaia_774384016513181696_src3,comparison,381.40609591555466,1257.5756623225336,3.646863715939101,1441.6566953659058,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0005_flat_6s_masked_cal.fits,gaia_774271076054448768_src2,comparison,1498.9519231013278,323.32055236385736,1.2386302388201713,2018.1756715774536,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0005_flat_6s_masked_cal.fits,gaia_774272862760870784_src1,comparison,592.0916437054328,259.90690364963126,3.470000223084146,2984.981188774109,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0005_flat_6s_masked_cal.fits,gaia_774287774887292672_src5,comparison,2025.9800172782684,1082.95083934024,1.0712437451318066,1196.5781650543213,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0005_flat_6s_masked_cal.fits,gaia_774288805679445888_src7,comparison,1937.1809936641748,1353.708356856514,2.2033608159387423,977.8849549293518,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0005_flat_6s_masked_cal.fits,gaia_774289041901756032_src4,comparison,2033.8056385861066,1444.5337356193486,2.1604661581340454,1253.9040832519531,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0005_flat_6s_masked_cal.fits,gaia_774289488578357504_src6,comparison,932.6052692255615,1102.3129989254708,2.480064146779028,1064.8349628448486,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0005_flat_6s_masked_cal.fits,gaia_774290626745586944_src8,comparison,1062.397133379694,1435.0577425643517,2.0709683226248137,339.9724164009094,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0005_flat_6s_masked_cal.fits,gaia_774384016513181696_src3,comparison,382.7612139433464,1256.7298623287486,4.218422299933586,1343.9610686302185,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0006_flat_6s_masked_cal.fits,gaia_774271076054448768_src2,comparison,1499.5229968772176,322.78199729470737,0.8899152873771208,2269.0218658447266,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0006_flat_6s_masked_cal.fits,gaia_774272862760870784_src1,comparison,592.7505943925235,259.3376169160335,2.62402288862984,3372.1610679626465,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0006_flat_6s_masked_cal.fits,gaia_774287774887292672_src5,comparison,2026.5905762180203,1082.5591670859483,0.6523753117698355,1367.3460502624512,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0006_flat_6s_masked_cal.fits,gaia_774288805679445888_src7,comparison,1937.6172449396431,1353.359966947495,1.48416912513143,1100.4316415786743,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0006_flat_6s_masked_cal.fits,gaia_774289041901756032_src4,comparison,2034.4546935046383,1444.1292111597354,1.5633091984308063,1394.7616024017334,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0006_flat_6s_masked_cal.fits,gaia_774289488578357504_src6,comparison,933.2704382237225,1101.7908890187941,1.8445445667393126,1174.4211082458496,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0006_flat_6s_masked_cal.fits,gaia_774290626745586944_src8,comparison,1063.060382696063,1434.5824676780642,1.5333700001042023,380.7416310310364,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0006_flat_6s_masked_cal.fits,gaia_774384016513181696_src3,comparison,383.4483140028103,1256.130652408689,3.2107007082419763,1478.1759266853333,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0007_flat_6s_masked_cal.fits,gaia_774271076054448768_src2,comparison,1501.0794963762962,322.7637139085892,0.9378494472787329,2208.8774013519287,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0007_flat_6s_masked_cal.fits,gaia_774272862760870784_src1,comparison,594.3961144023865,259.3485804121719,2.7852505277231585,3365.045461654663,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0007_flat_6s_masked_cal.fits,gaia_774287774887292672_src5,comparison,2028.3499435156123,1082.404196061179,0.95520995149746,1386.0945768356323,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0007_flat_6s_masked_cal.fits,gaia_774288805679445888_src7,comparison,1939.5112026188567,1353.326836619102,1.8620146527070156,1065.1411809921265,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0007_flat_6s_masked_cal.fits,gaia_774289041901756032_src4,comparison,2036.22711087735,1444.0687033274298,1.8989821616935068,1386.568338394165,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0007_flat_6s_masked_cal.fits,gaia_774289488578357504_src6,comparison,934.9397950511856,1101.9890776391321,2.0749438550131116,1162.729676246643,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0007_flat_6s_masked_cal.fits,gaia_774290626745586944_src8,comparison,1064.983250747871,1434.670538190733,1.6700367482423364,370.14319705963135,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0007_flat_6s_masked_cal.fits,gaia_774384016513181696_src3,comparison,385.0327752300444,1256.3417481551448,3.541632589448905,1484.3092050552368,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0008_flat_6s_masked_cal.fits,gaia_774271076054448768_src2,comparison,1501.3792359541758,322.6001226151808,0.9757428489321092,2303.1936378479004,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0008_flat_6s_masked_cal.fits,gaia_774272862760870784_src1,comparison,594.5588467290979,259.36690480093637,2.8857291164405043,3408.175477027893,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0008_flat_6s_masked_cal.fits,gaia_774287774887292672_src5,comparison,2028.6174226071275,1082.180886917947,0.8192982246374514,1372.4330596923828,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0008_flat_6s_masked_cal.fits,gaia_774288805679445888_src7,comparison,1939.7425804556829,1353.1033852481505,1.626558546542725,1085.977991104126,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0008_flat_6s_masked_cal.fits,gaia_774289041901756032_src4,comparison,2036.4287883507873,1443.8717483040045,1.5979238497558474,1385.8477869033813,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0008_flat_6s_masked_cal.fits,gaia_774289488578357504_src6,comparison,935.1293866881485,1101.6894574609266,1.879820692671291,1200.9002590179443,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0008_flat_6s_masked_cal.fits,gaia_774290626745586944_src8,comparison,1065.0880285990643,1434.4510947986969,1.7779552959589109,387.7208433151245,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0008_flat_6s_masked_cal.fits,gaia_774384016513181696_src3,comparison,385.30500698217276,1256.0838795253812,3.2976765352563846,1498.9221954345703,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0009_flat_6s_masked_cal.fits,gaia_774271076054448768_src2,comparison,1501.7423680105862,323.6682672548271,0.5813262287336298,2126.302634239197,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0009_flat_6s_masked_cal.fits,gaia_774272862760870784_src1,comparison,594.7982023136157,260.3589844264964,1.6114178289052297,3207.4058952331543,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0009_flat_6s_masked_cal.fits,gaia_774287774887292672_src5,comparison,2028.9492848698444,1083.3405947441174,0.4875563062439421,1258.406723022461,ok
flat_6s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0009_flat_6s_masked_cal.fits,gaia_774288805679445888_src7,comparison,1940.0541034228572,1354.2305155046013,1.1734827464714481,1001.8989915847778,ok
