sequence,N,median_early_minus_late_pct,mad_sigma_delta_pct,p90_abs_delta_pct,max_abs_delta_pct
V0399 named,107,-0.0001809059793744794,0.002002030386174156,0.003667705804164534,0.3922196534207556
V_8 generic,83,0.004383679735386892,0.0026058336376852554,0.007016942356634636,0.8497187078992052
combined,190,0.0011863765804420723,0.0031860337471348553,0.006527639522975193,0.8497187078992052
